Question Number| Question | Option 1 | Option 2 | Option 3 | Option 4 | Answer
1 What is the capital of Canada? | Toronto | Vancouver | Ottawa | Montreal | Ottawa
2 Which planet is known as the Red Planet? | Venus | Jupiter | Mars | Saturn | Mars
3 Who wrote Romeo and Juliet? | Charles Dickens | William Shakespeare | Mark Twain | Jane Austen | William Shakespeare
4 What is the chemical symbol for gold? | Ag | Au | Pb | Fe | Au
5 <html>If time was reversed, which way would the <br/>moon rise?<html> | North | South | East | West | West
6 <html>If you were to walk 500 miles downwards into the Earth, <br/>and then walk 500 more, where would you be?<html> | The crust | The mantle | The outer core | The inner core | The mantle
7 <html>If one of these people somehow lost their stirrup, <br/>which would be the least upset?<html> | Mozart | Beethoven | Chopin | Bach | Beethoven
8 <html>If you were to go to 1350's Europe, what might you <br/>want to get vaccinated for?<html> | Polio | Smallpox | COVID-19 | Bubonic Plague | Bubonic Plague
9 <html>A mean person called me STRUTHIOUS. <br/>What does that even mean?<html> | You are incredibly poor. | You look like an ostrich. | You have the brains of a potato. | You are very rude yourself. | You look like an ostrich.
10 <html>Okay, back to some normal questions. <br/>What is the longest river in the world?<html> | Amazon River | Mississippi River | Nile River | Yangtze River | Nile River
11 Which continent is home to the Amazon Rainforest? | Africa | Asia | South America | Australia | South America
12 Who was the first person to walk on the moon? | Buzz Aldrin | Yuri Gagarin | Neil Armstrong | John Glenn | Neil Armstrong
13 What is the hardest natural substance on Earth? | Iron | Gold | Diamond | Quartz | Diamond
14 <html>Which country has the most spoken native languages <br/>in the world?<html> | USA | China | India | Brazil | China
15 Have you ever tried fugu? | No, I don't like [vegetables]. | Yes, I love [meat]. | Never, I despise [fish]. | All the time! I love [fruit]! | Never, I despise [fish].
16 Which landmark is known as "La Liberté éclairant le monde"? | Empire State Building | Chrysler Building | Statue of Liberty | Brooklyn Bridge | Statue of Liberty
17 By the way, what question number are we on? | 16 | 17 | 18 | 19 | 17
18 <html>Which of these characters can I NOT use under <br/>copyright law in my totally original book I'm writing?<html> | Sherlock Holmes | Peter Pan | Cat in the Hat | King Kong | Cat in the Hat
19 <html>Subtract the number of molecules in dihydrogen monoxide <br/>from the number of months in the Gregorian Calender.<html> | 19 | 16 | 13 | 9 | 9
20 <html>It is currently 2:30 AM as I'm writing this, <br/>when should I wake up so I get the recommended hours of sleep by the NIH?<html> | 6:30 AM | 8:30 AM | 10:30 AM | 12:30 PM | 10:30 AM

